1,'1',34710
2,'2',3539
3,'3',2626
4,'4',23438
5,'5',3965
6,'6',31606
7,'7',2528
8,'8',5982
9,'9',12573
10,'10',2763
11,'11',6684
12,'12',2883
13,'13',2637
14,'14',2264
15,'15',5368
16,'16',10895
17,'17',1581
18,'18',6009
19,'19',2430
20,'20',3305
21,'21',4046
22,'22',2974
23,'23',8033
24,'24',4946
25,'25',1871
26,'26',4513
27,'27',9532
28,'28',3612
29,'29',2584
30,'30',5542
31,'31',2316
32,'32',1805
33,'33',2537
34,'34',4498
35,'35',32032
36,'36',3282
37,'37',3804
38,'38',2639
39,'39',2217
40,'40',4830
41,'41',18690
42,'42',9614
43,'43',4308
44,'44',9453
45,'45',5091
46,'46',3700
47,'47',3472
48,'48',2811
49,'49',8228
50,'50',14196
51,'51',8025
52,'52',7330
53,'53',12927
54,'54',4110
55,'55',15053
56,'56',1903
57,'57',13067
58,'58',33234
59,'59',23581
60,'60',4587
61,'61',8475
62,'62',2667
63,'63',3401
64,'64',14147
65,'65',15197
66,'66',3424
67,'67',7076
68,'68',3964
69,'69',13382
70,'70',3297
71,'71',22314
72,'72',10420
73,'73',4693
74,'74',22009
75,'75',6038
76,'76',12198
77,'77',1875
78,'78',27696
79,'79',5995
80,'80',3950
81,'81',10265
82,'82',2188
83,'83',3194
84,'84',13656
85,'85',1920
86,'86',3446
87,'87',13995
88,'88',16681
89,'89',8867
90,'90',6906
91,'91',12388
92,'92',6906
93,'93',3226
94,'94',2146
95,'95',19642
96,'96',12392
97,'97',7589
98,'98',13222
99,'99',11377
100,'100',14143
101,'101',6100
102,'102',3020
103,'103',2977
104,'104',10456
105,'105',5156
106,'106',1995
107,'107',3472
108,'108',5382
109,'109',4923
110,'110',3179
111,'111',2940
112,'112',5938
113,'113',1839
114,'114',3334
115,'115',3651
116,'116',6858
117,'117',4380
118,'118',9925
119,'119',1929
120,'120',7034
121,'121',6404
122,'122',2637
123,'123',23191
124,'124',1679
125,'125',3500
126,'126',9123
127,'127',6099
128,'128',31089
129,'129',3257
130,'130',3116
131,'131',17746
132,'132',3021
133,'133',11615
134,'134',5011
135,'135',3293
136,'136',3668
137,'137',12544
138,'138',14192
139,'139',2424
140,'140',10828
141,'141',21205
142,'142',2514
143,'143',5427
144,'144',1644
145,'145',18653
146,'146',3187
147,'147',29152
148,'148',45616
149,'149',2059
150,'150',4689
151,'151',9067
152,'152',5841
153,'153',3273
154,'154',7767
155,'155',8443
156,'156',4922
157,'157',31726
158,'158',4452
159,'159',7576
160,'160',5512
161,'161',5046
162,'162',6105
163,'163',7310
164,'164',2011
165,'165',1631
166,'166',8999
167,'167',16462
168,'168',16663
169,'169',4346
170,'170',14147
171,'171',11564
172,'172',3260
173,'173',11196
174,'174',4464
175,'175',3960
176,'176',3725
177,'177',1954
178,'178',5806
179,'179',3282
180,'180',4565
181,'181',1923
182,'182',11918
183,'183',1943
184,'184',8413
185,'185',2168
186,'186',3819
187,'187',11223
188,'188',33982
189,'189',2827
190,'190',2353
191,'191',5794
192,'192',7295
193,'193',18229
194,'194',1882
195,'195',7965
196,'196',7852
197,'197',2314
198,'198',6525
199,'199',34382
200,'200',8832
201,'201',18553
202,'202',2467
203,'203',29978
204,'204',6182
205,'205',2420
206,'206',5436
207,'207',3619
208,'208',7767
209,'209',8817
210,'210',2010
211,'211',9284
212,'212',9588
213,'213',4043
214,'214',3098
215,'215',7823
216,'216',2013
217,'217',14826
218,'218',7129
219,'219',8527
220,'220',21986
221,'221',3479
222,'222',2144
223,'223',5349
224,'224',1877
225,'225',7708
226,'226',3899
227,'227',3544
228,'228',6975
229,'229',2359
230,'230',3260
231,'231',5538
232,'232',3239
233,'233',3917
234,'234',9889
235,'235',2166
236,'236',4002
237,'237',2688
238,'238',8391
239,'239',2206
240,'240',3365
241,'241',1867
242,'242',5876
243,'243',3124
244,'244',2895
245,'245',12067
246,'246',3054
247,'247',12906
248,'248',12595
249,'249',5718
250,'250',24355
251,'251',14591
252,'252',7805
253,'253',2434
254,'254',8749
255,'255',5525
256,'256',14553
257,'257',15257
258,'258',7372
259,'259',10420
260,'260',12319
261,'261',5580
262,'262',4959
263,'263',13443
264,'264',2709
265,'265',2683
266,'266',6508
267,'267',2690
268,'268',7723
269,'269',2387
270,'270',25047
271,'271',2363
272,'272',21128
273,'273',5204
274,'274',2793
275,'275',2598
276,'276',3857
277,'277',32992
278,'278',1789
279,'279',19546
280,'280',2710
281,'281',1949
282,'282',22644
283,'283',12976
284,'284',25341
285,'285',11071
286,'286',4965
287,'287',5854
288,'288',2688
289,'289',2552
290,'290',2419
291,'291',2583
292,'292',7796
293,'293',11950
294,'294',2937
295,'295',4810
296,'296',2467
297,'297',3758
298,'298',7713
299,'299',3015
300,'300',18011
301,'301',12274
302,'302',8202
303,'303',20799
304,'304',8221
305,'305',3700
306,'306',20417
307,'307',3819
308,'308',2452
309,'309',25645
310,'310',5057
311,'311',1630
312,'312',2303
313,'313',2997
314,'314',8052
315,'315',12116
316,'316',6316
317,'317',2031
318,'318',4888
319,'319',19690
320,'320',7168
321,'321',18434
322,'322',7384
323,'323',5539
324,'324',1739
325,'325',17928
326,'326',2841
327,'327',7385
328,'328',5672
329,'329',9973
330,'330',15808
331,'331',10120
332,'332',29406
333,'333',24219
334,'334',13570
335,'335',2533
336,'336',2681
337,'337',18709
338,'338',2941
339,'339',2540
340,'340',1948
341,'341',6766
342,'342',6863
343,'343',3568
344,'344',2786
345,'345',4456
346,'346',6020
347,'347',2212
348,'348',15364
349,'349',44376
350,'350',16546
351,'351',8318
352,'352',4981
353,'353',5824
354,'354',3910
355,'355',5630
356,'356',8518
357,'357',4895
358,'358',4423
359,'359',21330
360,'360',3434
361,'361',2481
362,'362',2007
363,'363',2565
364,'364',3074
365,'365',2798
366,'366',19479
367,'367',3279
368,'368',2585
369,'369',2788
370,'370',11582
371,'371',2916
372,'372',11337
373,'373',3676
374,'374',27604
375,'375',11646
376,'376',3667
377,'377',2072
378,'378',7033
379,'379',1900
380,'380',4462
381,'381',5042
382,'382',3966
383,'383',15333
384,'384',18826
385,'385',32992
386,'386',9029
387,'387',3311
388,'388',11095
389,'389',6721
390,'390',3638
391,'391',9153
392,'392',12715
393,'393',10167
394,'394',9264
395,'395',5050
396,'396',16264
397,'397',2121
398,'398',3522
399,'399',3238
400,'400',10202
401,'401',23454
402,'402',9066
403,'403',11472
404,'404',5319
405,'405',12937
406,'406',18608
407,'407',11816
408,'408',13227
409,'409',4356
410,'410',3518
411,'411',1716
412,'412',2637
413,'413',7680
414,'414',13246
415,'415',3850
416,'416',10260
417,'417',9285
418,'418',24395
419,'419',16113
420,'420',3056
421,'421',4131
422,'422',2193
423,'423',2130
424,'424',4969
425,'425',3715
426,'426',15591
427,'427',11223
428,'428',29624
429,'429',6163
430,'430',2737
431,'431',1947
432,'432',3692
433,'433',7926
434,'434',6253
435,'435',2315
436,'436',3632
437,'437',2453
438,'438',6774
439,'439',25044
440,'440',4119
441,'441',2732
442,'442',3711
443,'443',5397
444,'444',4954
445,'445',29047
446,'446',12949
447,'447',2254
448,'448',3781
449,'449',24229
450,'450',1640
451,'451',3078
452,'452',17378
453,'453',2480
454,'454',2964
455,'455',2184
456,'456',7666
457,'457',2983
458,'458',6116
459,'459',2746
460,'460',2847
461,'461',2166
462,'462',6953
463,'463',4712
464,'464',20007
465,'465',4385
466,'466',19628
467,'467',5533
468,'468',7198
469,'469',9889
470,'470',14058
471,'471',5182
472,'472',7034
473,'473',2168
474,'474',9889
475,'475',4396
476,'476',3522
477,'477',7767
478,'478',5822
479,'479',2732
480,'480',9457
481,'481',4791
482,'482',3756
483,'483',6017
484,'484',4136
485,'485',5928
486,'486',2618
487,'487',6287
488,'488',3511
489,'489',1523
490,'490',11311
491,'491',5262
492,'492',3001
493,'493',13464
